p= -146 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -145 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -144 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -143 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -142 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -141 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -140 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -139 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -138 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -137 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -136 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -135 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -134 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -133 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -132 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -131 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -130 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -129 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -128 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -127 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -126 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -125 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -124 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -123 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -122 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -121 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -120 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -119 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -118 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -117 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -116 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -115 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -114 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -113 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -112 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -111 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -110 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -109 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -108 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -107 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -106 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -105 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -104 divFloor(p, sc)= -2 divCeil(p, sc)= -1
